2024-11-21 14:02:15 pm | http | ::ffff:192.168.0.232 - - "GET /service/oldship HTTP/1.1" 304 -

2024-11-21 14:02:16 pm | http | ::ffff:192.168.0.232 - - "GET /service/oldship HTTP/1.1" 304 -

2024-11-21 14:45:31 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:31 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:32 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:32 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:33 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:33 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:34 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:34 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:35 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:35 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:36 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:36 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:37 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:37 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:38 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:38 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:39 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:39 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:40 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:40 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:41 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:41 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:42 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:42 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:43 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:43 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:44 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:44 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:45 pm | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-11-21 14:45:45 pm | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
