2024-11-24 10:10:38 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:38 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:39 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:39 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:40 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:40 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:41 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:41 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:42 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:42 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:43 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:43 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:44 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:44 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:45 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:45 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:46 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:46 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:47 am | error | db_manager : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
2024-11-24 10:10:47 am | error | db_manager : GetDeviceState : Error: PROCEDURE netro_data_platform.PROC_LATEST_STATUS does not exist
