2024-08-05 11:04:35 am | info | genix : Socket IO server listening on port 3000
2024-08-05 11:04:36 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:36 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:37 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:37 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:38 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:38 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:39 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:39 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:40 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:40 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:41 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:41 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:42 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:42 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:43 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:43 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:44 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:44 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:45 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:45 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:46 am | error | db_manager : Error: Access denied for user 'root'@'localhost' (using password: YES)
2024-08-05 11:04:46 am | error | db_manager : GetDeviceState : Error: Access denied for user 'root'@'localhost' (using password: YES)
